,City ID,confirm name,Confirm Country,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
0,110690,Abhā,SA,18.22,42.51,297.62,24.0,76.0,6,0,4.6,10.22,['20 Oct 2020 08:22:19']
1,2293538,Abidjan,CI,5.31,-4.02,301.15,28.0,82.0,83,40,5.1,11.33,['20 Oct 2020 08:22:19']
2,2324433,Abonnema,NG,4.71,6.79,304.15,31.0,88.0,70,75,1.5,3.33,['20 Oct 2020 08:22:19']
3,3533462,Acapulco de Juárez,MX,16.86,-99.89,299.15,26.0,79.0,88,40,2.1,4.67,['20 Oct 2020 08:22:19']
4,2293428,Adiaké,CI,5.29,-3.3,301.15,28.0,82.0,83,40,5.1,11.33,['20 Oct 2020 08:22:19']
5,2381972,Adrar,MR,20.5,-10.07,306.28,33.0,92.0,12,0,4.53,10.07,['20 Oct 2020 08:22:19']
6,245669,Adré,TD,13.47,22.2,308.01,35.0,95.0,10,0,5.98,13.29,['20 Oct 2020 08:22:19']
7,3408269,Afuá,BR,-0.16,-50.39,303.46,31.0,87.0,62,75,3.45,7.67,['20 Oct 2020 08:22:19']
8,1651810,Airai,TL,-8.93,125.41,290.24,17.0,63.0,94,50,0.92,2.04,['20 Oct 2020 08:22:19']
9,2101169,Aitape,PG,-3.14,142.35,299.86,27.0,80.0,75,72,0.97,2.16,['20 Oct 2020 08:22:19']
10,3038333,Arrondissement d'Ajaccio,FR,42.0,8.92,294.15,21.0,70.0,49,17,3.6,8.0,['20 Oct 2020 08:22:19']
11,2235776,Akonolinga,CM,3.77,12.25,300.63,27.0,81.0,74,68,0.44,0.98,['20 Oct 2020 08:22:19']
12,2293107,Akoupé,CI,6.39,-3.9,304.4,31.0,88.0,57,48,1.39,3.09,['20 Oct 2020 08:22:19']
13,5106841,Albany,US,42.6,-73.97,287.68,14.0,58.0,78,86,0.45,1.0,['20 Oct 2020 08:22:19']
14,1278987,Allāpalli,IN,19.42,80.07,299.44,26.0,79.0,89,77,0.41,0.91,['20 Oct 2020 08:22:19']
15,6316343,Alta Floresta,BR,-9.88,-56.09,297.98,25.0,77.0,83,99,1.86,4.13,['20 Oct 2020 08:22:19']
16,3866163,Alta Gracia,AR,-31.65,-64.43,288.12,15.0,59.0,81,100,4.92,10.93,['20 Oct 2020 08:22:19']
17,5178195,Altoona,US,40.52,-78.39,283.15,10.0,50.0,92,100,1.37,3.04,['20 Oct 2020 08:22:19']
18,3472404,Alvorada,BR,-12.48,-49.12,304.87,32.0,89.0,42,90,2.83,6.29,['20 Oct 2020 08:22:19']
19,3407762,Amapá,BR,1.0,-52.0,301.88,29.0,84.0,63,85,2.3,5.11,['20 Oct 2020 08:22:19']
20,5516233,Amarillo,US,35.22,-101.83,280.15,7.0,45.0,93,75,4.1,9.11,['20 Oct 2020 08:22:19']
21,1082243,Ambilobe,MG,-13.2,49.05,305.26,32.0,90.0,43,54,0.39,0.87,['20 Oct 2020 08:22:19']
22,3899695,Ancud,CL,-41.87,-73.82,280.52,7.0,45.0,81,84,5.7,12.67,['20 Oct 2020 08:22:19']
23,2304548,Anloga,GH,5.79,0.9,304.15,31.0,88.0,70,20,5.1,11.33,['20 Oct 2020 08:22:19']
24,3899539,Antofagasta,CL,-23.65,-70.4,288.15,15.0,59.0,82,75,2.1,4.67,['20 Oct 2020 08:22:19']
25,1068971,Antsohihy,MG,-14.88,47.99,308.62,36.0,96.0,31,19,0.34,0.76,['20 Oct 2020 08:22:19']
26,3407407,Aquiraz,BR,-3.9,-38.39,302.15,29.0,84.0,66,75,9.3,20.67,['20 Oct 2020 08:22:19']
27,2460954,Araouane,ML,18.9,-3.53,307.69,34.0,94.0,10,0,5.04,11.2,['20 Oct 2020 08:22:19']
28,733638,Ardino,BG,41.58,25.13,290.41,17.0,63.0,33,4,2.1,4.67,['20 Oct 2020 08:22:19']
29,4562635,Arecibo,PR,18.47,-66.72,299.57,27.0,80.0,75,30,1.83,4.07,['20 Oct 2020 08:22:19']
30,3407194,Areia Branca,BR,-4.96,-37.14,303.21,30.0,86.0,48,41,7.91,17.58,['20 Oct 2020 08:22:19']
31,3182854,Ariano Irpino,IT,41.15,15.08,288.39,15.0,59.0,62,20,1.0,2.22,['20 Oct 2020 08:22:19']
32,2447513,Arlit,NE,18.74,7.39,312.01,39.0,102.0,8,0,4.61,10.24,['20 Oct 2020 08:22:19']
33,3471451,Arraial do Cabo,BR,-22.97,-42.03,299.15,26.0,79.0,69,40,7.2,16.0,['20 Oct 2020 08:22:19']
34,2537881,Safi,MA,32.3,-9.24,297.16,24.0,75.0,46,80,15.17,33.71,['20 Oct 2020 08:22:19']
35,1526273,Nur-Sultan,KZ,51.18,71.45,286.15,13.0,55.0,49,5,4.0,8.89,['20 Oct 2020 08:22:19']
